name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Wilson,NEW,FWD,7.5,Available,89,6,0,6.0,3.8
Trippier,NEW,DEF,5.0,Available,90,7,1,7.0,20.5
Burn,NEW,DEF,4.5,Available,90,6,0,6.0,1.2
Fraser,NEW,MID,5.5,Available,9,1,0,1.0,0.2
Lascelles,NEW,DEF,4.5,Doubtful,0,0,0,0.0,0.2
Gayle,NEW,FWD,4.5,NotAvail,0,0,0,0.0,0.2
Dummett,NEW,DEF,4.0,Available,0,0,0,0.0,0.6
Manquillo,NEW,DEF,4.5,Available,0,0,0,0.0,0.1
Krafth,NEW,DEF,4.5,Available,0,0,0,0.0,0.1
Murphy,NEW,MID,4.5,Available,1,1,0,1.0,6.7
Schär,NEW,DEF,4.5,Available,90,15,3,15.0,2.6
Targett,NEW,DEF,5.0,Available,90,8,2,8.0,1.4
Saint-Maximin,NEW,MID,6.5,Available,89,3,0,3.0,7.5
Almirón,NEW,MID,5.0,Available,80,3,0,3.0,1.4
S.Longstaff,NEW,MID,4.5,Available,10,1,0,1.0,1.1
Joelinton,NEW,MID,6.0,Available,90,6,0,6.0,0.7
Lewis,NEW,DEF,4.5,Doubtful,0,0,0,0.0,0.0
Willock,NEW,MID,5.0,Available,79,3,0,3.0,0.6
Bruno Guimarães,NEW,MID,6.0,Available,90,3,0,3.0,10.5
Hendrick,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.0
Pope,NEW,GKP,5.0,Available,90,6,0,6.0,4.4
Botman,NEW,DEF,4.5,Available,1,1,0,1.0,2.3
Anderson,NEW,MID,4.5,Available,0,0,0,0.0,0.2
N.Williams,NFO,DEF,4.0,Available,90,0,0,0.0,27.9
Arter,NFO,MID,4.5,Available,0,0,0,0.0,0.3
Cook,NFO,DEF,4.5,Available,0,0,0,0.0,0.2
Taylor,NFO,FWD,4.5,Available,0,0,0,0.0,11.3
Colback,NFO,MID,4.5,Available,90,2,0,2.0,1.8
Samba,NFO,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Cafú,NFO,MID,4.5,Available,0,0,0,0.0,0.5
Lolley,NFO,MID,5.0,Available,0,0,0,0.0,0.1
McKenna,NFO,DEF,4.5,Available,90,1,0,1.0,0.1
Dräger,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Yates,NFO,MID,5.0,Injured,0,0,0,0.0,0.0
Worrall,NFO,DEF,4.5,Available,90,0,0,0.0,0.1
Panzo,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Xande Silva,NFO,MID,5.0,NotAvail,0,0,0,0.0,0.0
Surridge,NFO,FWD,5.0,Available,62,2,0,2.0,1.7
Laryea,NFO,DEF,4.5,Available,0,0,0,0.0,0.0
Mbe Soh,NFO,DEF,4.5,Available,0,0,0,0.0,0.0
Johnson,NFO,FWD,6.0,Available,90,2,0,2.0,2.0
Mighten,NFO,MID,5.0,Available,7,1,0,1.0,0.0
Ojeda,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Awoniyi,NFO,FWD,6.0,Available,27,1,0,1.0,1.0
Henderson,NFO,GKP,4.5,Available,90,3,0,3.0,5.4
Biancone,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
Niakhaté,NFO,DEF,4.5,Available,82,1,0,1.0,0.2
Richards,NFO,DEF,4.5,Injured,0,0,0,0.0,0.0
Hennessey,NFO,GKP,4.0,Available,0,0,0,0.0,2.5
Toffolo,NFO,DEF,4.5,Available,90,1,0,1.0,0.1
O'Brien,NFO,MID,5.0,Available,74,1,0,1.0,0.1
Lingard,NFO,MID,6.0,Available,90,2,0,2.0,5.4
Mangala,NFO,MID,5.0,Available,15,1,0,1.0,0.0
Hammond,NFO,MID,4.5,Available,0,0,0,0.0,0.0
Lavia,SOU,MID,4.5,Available,90,2,0,2.0,0.3
Walcott,SOU,MID,5.0,Injured,0,0,0,0.0,0.0
McCarthy,SOU,GKP,4.5,Available,0,0,0,0.0,0.3
Romeu,SOU,MID,5.0,Available,74,2,0,2.0,0.1
Redmond,SOU,MID,5.5,Available,1,1,0,1.0,0.1
Stephens,SOU,DEF,4.5,Available,45,0,0,0.0,0.1
S.Armstrong,SOU,MID,5.0,Available,45,1,0,1.0,0.1
Elyounoussi,SOU,MID,5.5,Available,0,0,0,0.0,0.1
Ward-Prowse,SOU,MID,6.5,Available,90,9,2,9.0,10.2
A.Armstrong,SOU,FWD,5.5,Available,45,1,0,1.0,0.7
Walker-Peters,SOU,DEF,4.5,Available,90,0,0,0.0,1.2
Bednarek,SOU,DEF,4.5,Available,90,0,0,0.0,0.5
Adams,SOU,FWD,6.5,Available,0,0,0,0.0,0.7
Tella,SOU,MID,5.0,Injured,0,0,0,0.0,0.0
Lyanco,SOU,DEF,4.5,Available,0,0,0,0.0,0.0
Valery,SOU,DEF,4.0,Available,45,0,0,0.0,0.9
Smallbone,SOU,MID,4.5,NotAvail,0,0,0,0.0,0.0
Diallo,SOU,MID,4.5,Available,15,1,0,1.0,0.8
Perraud,SOU,DEF,4.5,Available,18,1,0,1.0,0.1
Djenepo,SOU,MID,5.0,Available,71,5,0,5.0,0.1
Livramento,SOU,DEF,4.5,Injured,0,0,0,0.0,0.0
Salisu,SOU,DEF,4.5,Available,90,-2,0,-2.0,0.2
Lis,SOU,GKP,4.0,Available,0,0,0,0.0,0.3
Bazunu,SOU,GKP,4.5,Available,90,1,0,1.0,0.7
Bella-Kotchap,SOU,DEF,4.5,Available,0,0,0,0.0,0.1
Caballero,SOU,GKP,4.0,Available,0,0,0,0.0,1.3
Aribo,SOU,MID,5.5,Available,90,2,0,2.0,0.6
Mara,SOU,FWD,5.5,Available,0,0,0,0.0,0.1
Lloris,TOT,GKP,5.5,Available,90,2,0,2.0,4.7
Forster,TOT,GKP,4.0,Available,0,0,0,0.0,6.3
Kane,TOT,FWD,11.4,Available,90,2,0,2.0,21.2
Son,TOT,MID,12.0,Available,90,5,0,5.0,23.0
Doherty,TOT,DEF,5.0,Available,3,1,0,1.0,0.8
Dier,TOT,DEF,5.0,Available,90,8,0,8.0,4.2
Lucas Moura,TOT,MID,6.0,Available,4,1,0,1.0,0.4
Davies,TOT,DEF,5.0,Available,85,2,0,2.0,0.8
Højbjerg,TOT,MID,5.5,Available,90,2,0,2.0,0.9
Winks,TOT,MID,4.5,Available,0,0,0,0.0,2.2
Sánchez,TOT,DEF,4.5,Available,0,0,0,0.0,0.8
R.Sessegnon,TOT,DEF,4.5,Available,65,7,0,7.0,1.3
Bergwijn,TOT,MID,5.5,NotAvail,0,0,0,0.0,0.0
Reguilón,TOT,DEF,4.5,Available,0,0,0,0.0,2.2
Tanganga,TOT,DEF,4.0,Available,0,0,0,0.0,3.9
Bentancur,TOT,MID,5.5,Available,85,1,0,1.0,0.4
Skipp,TOT,MID,4.5,Injured,0,0,0,0.0,0.1
Rodon,TOT,DEF,4.0,NotAvail,0,0,0,0.0,0.1
Romero,TOT,DEF,5.0,Available,90,2,0,2.0,2.6
Bissouma,TOT,MID,5.0,Available,4,0,0,0.0,0.6
Emerson Royal,TOT,DEF,5.0,Available,86,9,1,9.0,1.6
Kulusevski,TOT,MID,8.0,Available,85,13,3,13.0,10.1
Scarlett,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Perišić,TOT,DEF,5.5,Available,24,1,0,1.0,22.0
White,TOT,MID,4.5,Available,0,0,0,0.0,0.4
Sarr,TOT,MID,4.5,Available,0,0,0,0.0,0.6
Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.4
Devine,TOT,MID,4.5,Available,0,0,0,0.0,0.1
Parrott,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.2
Richarlison,TOT,FWD,8.5,Available,0,0,0,0.0,0.4
Lenglet,TOT,DEF,5.0,Available,4,1,0,1.0,0.5
Spence,TOT,DEF,4.5,Available,0,0,0,0.0,0.6
Bryan,TOT,MID,5.0,Available,0,0,0,0.0,0.0
Fabianski,WHU,GKP,5.0,Doubtful,28,1,0,1.0,1.3
Ogbonna,WHU,DEF,4.5,Injured,0,0,0,0.0,0.1
Cresswell,WHU,DEF,5.0,Available,90,1,0,1.0,3.4
Antonio,WHU,FWD,7.5,Available,56,1,0,1.0,4.8
Dawson,WHU,DEF,5.0,Doubtful,0,0,0,0.0,0.4
Lanzini,WHU,MID,5.5,Available,56,1,0,1.0,0.3
Zouma,WHU,DEF,4.5,Available,90,1,0,1.0,1.5
Masuaku,WHU,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Coufal,WHU,DEF,4.5,Available,90,1,0,1.0,1.2
Benrahma,WHU,MID,6.0,Available,33,1,0,1.0,2.2
Bowen,WHU,MID,8.5,Available,90,2,0,2.0,6.6
Vlasic,WHU,MID,5.0,Available,0,0,0,0.0,0.0
Rice,WHU,MID,5.0,Available,90,2,0,2.0,6.4
Soucek,WHU,MID,5.5,Available,90,2,0,2.0,1.8
Fornals,WHU,MID,5.5,Available,90,2,0,2.0,1.5
Diop,WHU,DEF,4.5,Available,0,0,0,0.0,0.2
Johnson,WHU,DEF,4.5,Available,90,1,0,1.0,0.1
Aguerd,WHU,DEF,5.0,Injured,0,0,0,0.0,0.1
Areola,WHU,GKP,4.5,Available,61,1,0,1.0,1.5
Downes,WHU,MID,4.5,Available,1,1,0,1.0,0.4
Scamacca,WHU,FWD,7.0,Available,33,1,0,1.0,1.1
Ashby,WHU,DEF,4.0,Available,0,0,0,0.0,0.3
Coventry,WHU,MID,4.5,Available,1,1,0,1.0,0.1
Randolph,WHU,GKP,4.0,Available,0,0,0,0.0,0.0
Oko-Flex,WHU,MID,4.5,Available,0,0,0,0.0,0.0
Boly,WOL,DEF,4.5,Available,0,0,0,0.0,0.3
Coady,WOL,DEF,5.0,Available,0,0,0,0.0,4.2
Jiménez,WOL,FWD,7.0,Injured,0,0,0,0.0,0.3
Jonny,WOL,DEF,4.5,Available,90,1,0,1.0,0.7
Sá,WOL,GKP,5.0,Available,90,2,0,2.0,3.8
Dendoncker,WOL,MID,5.0,Available,90,2,0,2.0,0.2
Neves,WOL,MID,5.5,Available,90,4,2,4.0,1.8
Hwang,WOL,MID,6.0,Available,84,5,0,5.0,0.5
Semedo,WOL,DEF,5.0,Doubtful,0,0,0,0.0,0.0
Podence,WOL,MID,5.5,Available,90,10,3,10.0,1.4
Kilman,WOL,DEF,4.5,Available,90,1,0,1.0,0.8
Cundle,WOL,MID,4.5,Available,0,0,0,0.0,0.5
Neto,WOL,MID,5.5,Available,90,2,0,2.0,16.9
Aït-Nouri,WOL,DEF,4.5,Available,90,-1,0,-1.0,1.9
Fabio Silva,WOL,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Toti,WOL,DEF,4.0,Available,0,0,0,0.0,0.9
Chiquinho,WOL,MID,5.0,Injured,0,0,0,0.0,0.0
Adama,WOL,MID,5.5,Injured,0,0,0,0.0,0.1
Šarkić,WOL,GKP,4.0,Available,0,0,0,0.0,2.3
Gibbs-White,WOL,MID,5.5,Available,90,2,0,2.0,0.2
Mosquera,WOL,DEF,4.0,Available,0,0,0,0.0,0.9
Moutinho,WOL,MID,5.0,Doubtful,0,0,0,0.0,1.7
Collins,WOL,DEF,4.5,Available,90,1,0,1.0,0.3
Smith,WOL,GKP,4.0,Available,0,0,0,0.0,0.6
Bueno,WOL,DEF,4.0,Available,0,0,0,0.0,0.6
Hodge,WOL,MID,4.5,Available,0,0,0,0.0,0.0
Ronan,WOL,MID,4.5,Available,0,0,0,0.0,0.0
Campbell,WOL,MID,4.5,Available,5,1,0,1.0,0.1
